AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
fabricada,Mochila,13.0,0.7647058823529411,0.0,0.0,4.74692883171144,4.14063076064992e-05,Yes,0.0
hebilla,Mochila,16.0,0.9411764705882353,0.0,0.0,4.692707680683305,4.843708987189431e-05,Yes,0.0
40x20x251,Mochila,14.0,0.8235294117647058,0.0,0.0,4.666666666666667,5.2222693231483755e-05,Yes,0.0
Además1,Mochila,14.0,0.8235294117647058,0.0,0.0,4.666666666666667,5.2222693231483755e-05,Yes,0.0
Nuestra1,Mochila,14.0,0.8235294117647058,0.0,0.0,4.666666666666667,5.2222693231483755e-05,Yes,0.0
acolchado1,Mochila,14.0,0.8235294117647058,0.0,0.0,4.666666666666667,5.2222693231483755e-05,Yes,0.0
antirrobo,Mochila,15.0,0.8823529411764706,0.0,0.0,4.656903154237997,5.3716402020602686e-05,Yes,0.0
equipaje,Mochila,15.0,0.8823529411764706,0.0,0.0,4.656903154237997,5.3716402020602686e-05,Yes,0.0
superior1,Mochila,19.0,1.1176470588235294,0.0,0.0,4.642438885539598,5.600743722460244e-05,Yes,0.0
proporcionan,Mochila,23.0,1.3529411764705883,0.0,0.0,4.565883336266279,6.98442949051509e-05,Yes,0.0
compresión,Mochila,18.0,1.0588235294117647,0.0,0.0,4.517681796994742,8.024035856855688e-05,Yes,0.0
Opciones_Disponibles,Mochila,21.0,1.2352941176470589,0.0,0.0,4.439537949686197,0.00010043588874007188,Yes,0.0
conveniencia,Mochila,17.0,1.0,0.0,0.0,4.407785320154718,0.00011000919483712988,Yes,0.0
Caracteristicas,Mochila,11.0,0.6470588235294118,0.0,0.0,4.4,0.0001124906975044657,Yes,0.0
Dedicado1,Mochila,11.0,0.6470588235294118,0.0,0.0,4.4,0.0001124906975044657,Yes,0.0
bolsillos,Mochila,11.0,0.6470588235294118,0.0,0.0,4.4,0.0001124906975044657,Yes,0.0
transpirables,Mochila,19.0,1.1176470588235294,0.0,0.0,4.373308566128114,0.00012142502689307288,Yes,0.0
perfectamente,Mochila,31.0,1.8235294117647058,0.0,0.0,4.319744688608029,0.00014151778577213783,Yes,0.0
Ryanair1,Mochila,16.0,0.9411764705882353,0.0,0.0,4.314879119764749,0.00014349762082831736,Yes,0.0
Mochila,Mochila,9.0,0.5294117647058824,0.0,0.0,4.242640687119286,0.00017630990405659232,Yes,0.0
diferentes,Mochila,9.0,0.5294117647058824,0.0,0.0,4.242640687119286,0.00017630990405659232,Yes,0.0
elementos,Mochila,15.0,0.8823529411764706,0.0,0.0,4.242640687119285,0.00017630990405659232,Yes,0.0
mochila2,Mochila,12.0,0.7058823529411765,0.0,0.0,4.242640687119285,0.00017630990405659232,Yes,0.0
viajes,Mochila,12.0,0.7058823529411765,0.0,0.0,4.242640687119285,0.00017630990405659232,Yes,0.0
aerolíneas,Mochila,14.0,0.8235294117647058,0.0,0.0,4.197377458376824,0.0002005228067683097,Yes,0.0
hombros,Mochila,14.0,0.8235294117647058,0.0,0.0,4.197377458376824,0.0002005228067683097,Yes,0.0
principal1,Mochila,14.0,0.8235294117647058,0.0,0.0,4.197377458376824,0.0002005228067683097,Yes,0.0
diseñada1,Mochila,13.0,0.7647058823529411,0.0,0.0,4.190279412931977,0.0002046053030050959,Yes,0.0
pasaporte,Mochila,13.0,0.7647058823529411,0.0,0.0,4.190279412931977,0.0002046053030050959,Yes,0.0
separar,Mochila,13.0,0.7647058823529411,0.0,0.0,4.190279412931977,0.0002046053030050959,Yes,0.0
articulos1,Mochila,19.0,1.1176470588235294,0.0,0.0,4.1461399144838555,0.00023188868876900673,Yes,0.0
BritishAirways,Mochila,21.0,1.2352941176470589,0.0,0.0,4.069813298136678,0.0002877339194480948,Yes,0.0
amplio1,Mochila,16.0,0.9411764705882353,0.0,0.0,4.015717152884215,0.00033509644546761126,Yes,0.0
principal,Mochila,16.0,0.9411764705882353,0.0,0.0,4.015717152884215,0.00033509644546761126,Yes,0.0
Durabilidad,Mochila,19.0,1.1176470588235294,0.0,0.0,3.9510518613162766,0.0004017919079788742,Yes,0.0
bolsillo1,Mochila,10.0,0.5882352941176471,0.0,0.0,3.922322702763681,0.0004354341503450925,Yes,0.0
mucho,Mochila,15.0,0.8823529411764706,0.0,0.0,3.92232270276368,0.0004354341503450925,Yes,0.0
mucho1,Mochila,10.0,0.5882352941176471,0.0,0.0,3.922322702763681,0.0004354341503450925,Yes,0.0
paraguas,Mochila,15.0,0.8823529411764706,0.0,0.0,3.9223227027636804,0.0004354341503450925,Yes,0.0
mojados,Mochila,14.0,0.8235294117647058,0.0,0.0,3.8460957905632926,0.0005385923483936905,Yes,0.0
resistente,Mochila,23.0,1.3529411764705883,0.0,0.0,3.8333333333333335,0.0005580500427325096,Yes,0.0
TiraDeMochilas,Mochila,81.0,4.764705882352941,0.0,0.0,3.802565467185464,0.0006078181263841838,Yes,0.0
Qantas,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
acolchado,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
cabina2,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
compartimento4,Mochila,22.0,1.2941176470588236,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
hombros2,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
malla,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
resistente1,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
trasero,Mochila,11.0,0.6470588235294118,0.0,0.0,3.8010210725579845,0.0006104270193647147,Yes,0.0
Ryanair,Mochila,13.0,0.7647058823529411,0.0,0.0,3.7924897789452583,0.0006250363157326419,Yes,0.0
lateral,Mochila,13.0,0.7647058823529411,0.0,0.0,3.7924897789452583,0.0006250363157326419,Yes,0.0
tiempo,Mochila,13.0,0.7647058823529411,0.0,0.0,3.7924897789452583,0.0006250363157326419,Yes,0.0
ajusta,Mochila,8.0,0.47058823529411764,0.0,0.0,3.7712361663282534,0.0006629277379671912,Yes,0.0
capacidad,Mochila,20.0,1.1764705882352942,0.0,0.0,3.7712361663282534,0.0006629277379671912,Yes,0.0
pertenencias1,Mochila,16.0,0.9411764705882353,0.0,0.0,3.7712361663282534,0.0006629277379671912,Yes,0.0
poliester,Mochila,12.0,0.7058823529411765,0.0,0.0,3.7712361663282534,0.0006629277379671912,Yes,0.0
frontal,Mochila,17.0,1.0,0.0,0.0,3.687817782917155,0.000834434287039907,Yes,0.0
MochilaPrincipal,Mochila,38.0,2.235294117647059,0.0,0.0,3.6671781489656943,0.0008831098923347138,Yes,0.0
humedos,Mochila,18.0,1.0588235294117647,0.0,0.0,3.6458617215011997,0.0009362699928106391,Yes,0.0
brindan,Mochila,14.0,0.8235294117647058,0.0,0.0,3.5704295931546945,0.0011504509077395297,Yes,0.0
mientras,Mochila,14.0,0.8235294117647058,0.0,0.0,3.570429593154694,0.0011504509077395323,Yes,0.0
esenciales,Mochila,16.0,0.9411764705882353,0.0,0.0,3.566580560482258,0.0011625657147002009,Yes,0.0
regulaciones,Mochila,21.0,1.2352941176470589,0.0,0.0,3.5433261411206214,0.0012384258302574754,Yes,0.0
correas,Mochila,17.0,1.0,0.0,0.0,3.5161962919661303,0.00133298145441106,Yes,0.0
garantiza1,Mochila,17.0,1.0,0.0,0.0,3.5161962919661303,0.00133298145441106,Yes,0.0
Convenientes,Mochila,9.0,0.5294117647058824,0.0,0.0,3.496629104486151,0.0014054674972648496,Yes,0.0
Se,Mochila,9.0,0.5294117647058824,0.0,0.0,3.496629104486151,0.0014054674972648496,Yes,0.0
dentro,Mochila,9.0,0.5294117647058824,0.0,0.0,3.496629104486151,0.0014054674972648496,Yes,0.0
espuma,Mochila,9.0,0.5294117647058824,0.0,0.0,3.496629104486151,0.0014054674972648496,Yes,0.0
organizacion,Mochila,18.0,1.0588235294117647,0.0,0.0,3.496629104486151,0.0014054674972648496,Yes,0.0
superior,Mochila,15.0,0.8823529411764706,0.0,0.0,3.4526120258906157,0.0015826915926513486,Yes,0.0
Amplio,Mochila,12.0,0.7058823529411765,0.0,0.0,3.4285714285714284,0.0016883856916069197,Yes,0.0
para14,Mochila,12.0,0.7058823529411765,0.0,0.0,3.4285714285714284,0.0016883856916069197,Yes,0.0
principales,Mochila,12.0,0.7058823529411765,0.0,0.0,3.4285714285714293,0.0016883856916069199,Yes,0.0
ropa,Mochila,12.0,0.7058823529411765,0.0,0.0,3.428571428571429,0.0016883856916069199,Yes,0.0
separado,Mochila,12.0,0.7058823529411765,0.0,0.0,3.428571428571429,0.0016883856916069199,Yes,0.0
densidad,Mochila,10.0,0.5882352941176471,0.0,0.0,3.4050261230349945,0.0017984703195096075,Yes,0.0
reducción,Mochila,10.0,0.5882352941176471,0.0,0.0,3.4050261230349945,0.0017984703195096075,Yes,0.0
espalda1,Mochila,10.0,0.5882352941176471,0.0,0.0,3.405026123034994,0.0017984703195096114,Yes,0.0
que,Mochila,10.0,0.5882352941176471,0.0,0.0,3.405026123034994,0.0017984703195096114,Yes,0.0
telefono,Mochila,10.0,0.5882352941176471,0.0,0.0,3.405026123034994,0.0017984703195096114,Yes,0.0
mochila4,Mochila,11.0,0.6470588235294118,0.0,0.0,3.394673699166022,0.0018490288650960035,Yes,0.0
onjetos,Mochila,11.0,0.6470588235294118,0.0,0.0,3.394673699166022,0.0018490288650960035,Yes,0.0
aire,Mochila,7.0,0.4117647058823529,0.0,0.0,3.3466401061363023,0.0021020370071212903,Yes,0.0
diseño1,Mochila,7.0,0.4117647058823529,0.0,0.0,3.3466401061363023,0.0021020370071212903,Yes,0.0
días,Mochila,7.0,0.4117647058823529,0.0,0.0,3.3466401061363023,0.0021020370071212903,Yes,0.0
que2,Mochila,7.0,0.4117647058823529,0.0,0.0,3.3466401061363023,0.0021020370071212903,Yes,0.0
diseño,Mochila,13.0,0.7647058823529411,0.0,0.0,3.25,0.0027153488981938,Yes,0.0
adecuada1,Mochila,12.0,0.7058823529411765,0.0,0.0,3.1650262722997775,0.0033929375388091904,Yes,0.0
proteccion,Mochila,12.0,0.7058823529411765,0.0,0.0,3.1650262722997775,0.0033929375388091904,Yes,0.0
adecuada,Mochila,14.0,0.8235294117647058,0.0,0.0,3.1602628287053616,0.0034353444381599613,Yes,0.0
comodo,Mochila,15.0,0.8823529411764706,0.0,0.0,3.119251469460218,0.0038219273171801542,Yes,0.0
Cuenta,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
EasyJet,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
bolsillos1,Mochila,16.0,0.9411764705882353,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
cabina3,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
cabina4,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
como,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
del1,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
para2,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
resistente3,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
tamaño,Mochila,8.0,0.47058823529411764,0.0,0.0,3.1081147595432457,0.0039338459519052075,Yes,0.0
debajo,Mochila,11.0,0.6470588235294118,0.0,0.0,3.095829196813284,0.004060922241128766,Yes,0.0
nuestra3,Mochila,11.0,0.6470588235294118,0.0,0.0,3.095829196813284,0.004060922241128766,Yes,0.0
material,Mochila,13.0,0.7647058823529411,0.0,0.0,3.053545141476458,0.004528747974162721,Yes,0.0
mochila3,Mochila,13.0,0.7647058823529411,0.0,0.0,3.0535451414764583,0.004528747974162721,Yes,0.0
duración,Mochila,10.0,0.5882352941176471,0.0,0.0,3.049971406652093,0.0045705478687252015,Yes,0.0
Nuestra4,Mochila,9.0,0.5294117647058824,0.0,0.0,3.0425553170226594,0.004658459517641556,Yes,0.0
alivian,Mochila,9.0,0.5294117647058824,0.0,0.0,3.0425553170226594,0.004658459517641556,Yes,0.0
comodidad,Mochila,9.0,0.5294117647058824,0.0,0.0,3.0425553170226594,0.004658459517641556,Yes,0.0
cuenta3,Mochila,9.0,0.5294117647058824,0.0,0.0,3.0425553170226594,0.004658459517641556,Yes,0.0
estabilidad,Mochila,19.0,1.1176470588235294,0.0,0.0,2.999480744262662,0.005201594771620749,Yes,0.0
mayoria,Mochila,21.0,1.2352941176470589,0.0,0.0,2.9698484809835,0.005609441426582091,Yes,0.0
Etihad,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
Nuestra2,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
con4,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
con7,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
durante,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
estres,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
lo1,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
para9,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
portatil,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
que1,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
viaje2,Mochila,6.0,0.35294117647058826,0.0,0.0,2.954195783503986,0.0058368908671293275,Yes,0.0
pertenencias,Mochila,12.0,0.7058823529411765,0.0,0.0,2.9541957835039856,0.005836890867129333,Yes,0.0
garantizar,Mochila,16.0,0.9411764705882353,0.0,0.0,2.8853428309357834,0.006944661888552896,Yes,0.0
seguridad,Mochila,11.0,0.6470588235294118,0.0,0.0,2.8641560415781253,0.007323511375262003,Yes,0.0
New_Easyjet,Mochila,10.0,0.5882352941176471,0.0,0.0,2.786932057166471,0.008874964472035958,Yes,0.0
acceso,Mochila,10.0,0.5882352941176471,0.0,0.0,2.786932057166471,0.008874964472035958,Yes,0.0
cuatro,Mochila,10.0,0.5882352941176471,0.0,0.0,2.786932057166471,0.008874964472035958,Yes,0.0
ventilado,Mochila,10.0,0.5882352941176471,0.0,0.0,2.786932057166471,0.008874964472035958,Yes,0.0
suaves,Mochila,12.0,0.7058823529411765,0.0,0.0,2.780565342544763,0.009015735259877254,Yes,0.0
portatiles,Mochila,15.0,0.8823529411764706,0.0,0.0,2.76172385369497,0.009444651771966074,Yes,0.0
cuenta2,Mochila,7.0,0.4117647058823529,0.0,0.0,2.7456258919345764,0.009826131617706676,Yes,0.0
mochila6,Mochila,7.0,0.4117647058823529,0.0,0.0,2.7456258919345764,0.009826131617706676,Yes,0.0
Además,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
ColumnaIzquierdaImagenes,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
con3,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
cómoda12,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
hace2,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
rapido,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
un5,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
una1,Mochila,7.0,0.4117647058823529,0.0,0.0,2.745625891934576,0.00982613161770668,Yes,0.0
ajustables,Mochila,9.0,0.5294117647058824,0.0,0.0,2.7291529568840525,0.010231341290108954,Yes,0.0
botella,Mochila,9.0,0.5294117647058824,0.0,0.0,2.7291529568840525,0.010231341290108954,Yes,0.0
espacio,Mochila,9.0,0.5294117647058824,0.0,0.0,2.7291529568840525,0.010231341290108954,Yes,0.0
todos,Mochila,9.0,0.5294117647058824,0.0,0.0,2.7291529568840525,0.010231341290108954,Yes,0.0
larga,Mochila,9.0,0.5294117647058824,0.0,0.0,2.729152956884052,0.01023134129010897,Yes,0.0
seguridad2,Mochila,9.0,0.5294117647058824,0.0,0.0,2.729152956884052,0.01023134129010897,Yes,0.0
cómoda,Mochila,8.0,0.47058823529411764,0.0,0.0,2.7044936151312533,0.010867111879211818,Yes,0.0
de23,Mochila,8.0,0.47058823529411764,0.0,0.0,2.7044936151312533,0.010867111879211818,Yes,0.0
elección,Mochila,8.0,0.47058823529411764,0.0,0.0,2.7044936151312533,0.010867111879211818,Yes,0.0
ofrece1,Mochila,8.0,0.47058823529411764,0.0,0.0,2.7044936151312533,0.010867111879211818,Yes,0.0
para7,Mochila,8.0,0.47058823529411764,0.0,0.0,2.7044936151312533,0.010867111879211818,Yes,0.0
versatil,Mochila,8.0,0.47058823529411764,0.0,0.0,2.7044936151312533,0.010867111879211818,Yes,0.0
El2,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
Las2,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
agua2,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
cabina5,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
con5,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
con6,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
de26,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
del,Mochila,10.0,0.5882352941176471,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
el1,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
flujo,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
las4,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
ligero,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
mano2,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
para12,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
para5,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
tu,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
y9,Mochila,5.0,0.29411764705882354,0.0,0.0,2.5819888974716116,0.01460614586462975,Yes,0.0
tus,Mochila,5.0,0.29411764705882354,0.0,0.0,2.581988897471611,0.014606145864629765,Yes,0.0
infoextra,Mochila,16.0,0.9411764705882353,0.0,0.0,2.553878030296391,0.015617325870422865,Yes,0.0
perfecta,Mochila,9.0,0.5294117647058824,0.0,0.0,2.4961508830135313,0.01789884067739433,Yes,0.0
viaje4,Mochila,9.0,0.5294117647058824,0.0,0.0,2.4961508830135313,0.01789884067739433,Yes,0.0
ofrece,Mochila,8.0,0.47058823529411764,0.0,0.0,2.425913739452491,0.021085480561706164,Yes,0.0
pensando,Mochila,19.0,1.1176470588235294,0.0,0.0,2.42525745583589,0.021117557570702307,Yes,0.0
agua,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
compañera,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
de13,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
mano,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
mochila5,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
mochila8,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
tu8,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
una2,Mochila,6.0,0.35294117647058826,0.0,0.0,2.4,0.022386388245205346,Yes,0.0
durar,Mochila,7.0,0.4117647058823529,0.0,0.0,2.383518286124496,0.02325138247528705,Yes,0.0
diseñada,Mochila,7.0,0.4117647058823529,0.0,0.0,2.3835182861244957,0.02325138247528707,Yes,0.0
hace,Mochila,7.0,0.4117647058823529,0.0,0.0,2.3835182861244957,0.02325138247528707,Yes,0.0
los,Mochila,7.0,0.4117647058823529,0.0,0.0,2.3835182861244957,0.02325138247528707,Yes,0.0
tus2,Mochila,7.0,0.4117647058823529,0.0,0.0,2.3835182861244957,0.02325138247528707,Yes,0.0
ticketregalo,Mochila,13.0,0.7647058823529411,0.0,0.0,2.339590607462407,0.025707143009994677,Yes,0.0
Nuestra,Mochila,10.0,0.5882352941176471,0.0,0.0,2.279211529192759,0.029465909400991547,Yes,0.0
multiples,Mochila,10.0,0.5882352941176471,0.0,0.0,2.279211529192759,0.029465909400991547,Yes,0.0
20L,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
cm,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
como1,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
cuenta1,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
cumplir,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
de21,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
de3,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
el3,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
fácil,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
hay,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
la1,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
la2,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
la4,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
la5,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
la6,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
las,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
mochila7,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
para6,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
un4,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
una,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
y3,Mochila,4.0,0.23529411764705882,0.0,0.0,2.2188007849009166,0.03371504326573171,Yes,0.0
correa,Mochila,9.0,0.5294117647058824,0.0,0.0,2.1669453555438456,0.03779157629067145,Yes,0.0
asiento,Mochila,7.0,0.4117647058823529,0.0,0.0,2.134979984656465,0.040518086759315584,Yes,0.0
máxima,Mochila,7.0,0.4117647058823529,0.0,0.0,2.134979984656465,0.040518086759315584,Yes,0.0
en4,Mochila,6.0,0.35294117647058826,0.0,0.0,2.0732842213952645,0.046278071018281706,Yes,0.0
un,Mochila,6.0,0.35294117647058826,0.0,0.0,2.0732842213952645,0.046278071018281706,Yes,0.0
Cabina,Mochila,5.0,0.29411764705882354,0.0,0.0,2.062842492517587,0.047321361726589475,Yes,0.0
correas1,Mochila,5.0,0.29411764705882354,0.0,0.0,2.062842492517587,0.047321361726589475,Yes,0.0
de2,Mochila,5.0,0.29411764705882354,0.0,0.0,2.062842492517587,0.047321361726589475,Yes,0.0
de4,Mochila,5.0,0.29411764705882354,0.0,0.0,2.062842492517587,0.047321361726589475,Yes,0.0
de7,Mochila,5.0,0.29411764705882354,0.0,0.0,2.062842492517587,0.047321361726589475,Yes,0.0
y,Mochila,5.0,0.29411764705882354,0.0,0.0,2.062842492517587,0.047321361726589475,Yes,0.0
con2,Mochila,5.0,0.29411764705882354,0.0,0.0,2.0628424925175866,0.04732136172658952,Yes,0.0
de12,Mochila,5.0,0.29411764705882354,0.0,0.0,2.0628424925175866,0.04732136172658952,Yes,0.0
